SKU,Descripción,Stock
TLM2020CCU,TLM2020CCU Centro Carga 20ctos 1F Zapatas 200A,4
TLM2020RCU,TLM2020RCU Centro Carga 20ctos 1F Zapatas 200A,1
TLM2412CCU,TLM2412CCU C.CARGA 24C 1F 3H C/ZAP.125A,1
TLM2412RCU,TLM2412RCU Centro de carga 24c 1F c/zapatas,2
TLM2420C42,Centro Carga 24ctos 1F Zapatas 200A,1
TLM4020CCU,TLM4020CCU Centro Carga 40ctos 1F Zapatas 200A,17
TLM4020RCU,Centro Carga 40ctos 1F Zapatas 200A,1
TLM4220CCU,Centro Carga 42ctos 1F Zapatas 200A,2
TLM4222CCU,CENTRO DE CARGA 42C 225A 120/240V,1
TLM612FCUD,TLM612FCUD Centro C 6ctos 1F Zap 125A Emp Puerta,10
TLM612F1,TLM612F1 Centro C 6ctos 1F Zap 125A Emp N1,8
TLM612R,TLM612R Centro C 6ctos 1F Zap 125A N3R,1
TLM612RCU,TLM612RCU Centro C 6ctos 1F Zap 125A N3R,6
TLM612SCUD,TLM612SCUD C.DE CARGA 6 CIRC.125A P/SOBREPONER G.E,13
TLM612S1,TLM612S1 Centro C 6ctos 1F Zap 125A Sob N1,1
TLM812FCU,CC8POLOS125AMP,19
TLM812FCUD,TLM812FCUD CENTRO DE CARGA 8 CIR. EMP. GE,8
TLM812RCU,TLM812RCU CENTRO DE CARGA 8 CIR EXTERIOR,5
TLM812SCU,CENTRO DE CARGA 1F 3H 8P C/ZAP 125A 120/,1
TLM812SCUD,TLM812SCUD C.DE CARGA 8 CIRC.125A,3
TL1000,L Travesaño post600mm 2pz,38
TL12412C,TL12412C Centro Carga 12ctos 3F Zapatas 125A,11
TL12412R,TL12412R Centro Carga 12ctos 3F Zapatas 125A,7
TL-1835.B40,LUM SOR EXT 35 W,1
TL18415C,Centro Carga 18ctos 3F Zapatas 150A,9
TL18415R,TL18415R Centro Carga 3f Zapatas 150a N3R,2
TL18420C,TL18420C Centro Carga 18ctos 3F Zapatas 200A,3
TL2000,L Travesañopost.esc.300mm2pz,1
TL2100,LINEARCROSSPIECEFORINTERNALCAB.CONT.,7
TL240SCU,CENTRO DE CARGA 1F 3H 2P C/ZAP 40A,2
TL24415C,TL24415C Centro Carga 24ctos 3F Zapatas 150A,1
TL270RCU,TL270RCU Centro Carga 2ctos 1F Zapatas 70A  N3R,7
TL270SCU,TL270SCU Centro Carga 2ctos 1F Zapatas 70A  N1,15
TL-2808.N40,LUM SOB PONER SLIM8W 4000K ALUM,5
TL-2815.B30,LUMINARIO LED BLANCO  15 W  100 - 277 V~,1
TL-2815.N30,LUMINARIO LED INTEGRADO PARA SOBRE,4
TL28351203065,TIRA LED EN ROLLO 5M,1
TL3000,L Travesaño post800mm 2pz,27
TL30420C,TL30420C CENTRO DE CARGA 30C ZAPATAS 200A,1
TL30422C,Centro Carga 30ctos 3F Zapatas 225A,4
TL412C,TL412C C.DE CARGA 4C 125A 240V G.E.,13
TL412RT1,TL412RT1 Centro Carga 4ctos 1F Zapatas 125A N3R T,7
TL412R1,TL412R1 CENTRO DE CARGA 4 CIRCUITOS 1F,7
TL42420C,CENTRO DE CARGA 42C ZAPATAS 200A,2
TL-7200.NHB50120,LUMINARIA LED INDUSTRIAL DE SUSPENDER,1
TMAX XT5N 400,EXTRACTO,1
TM1210CCU,C.CARGA1F 3H 12C INT.PPL.100A,6
TM12410C,C.CARGA 12C 3F 4H C/INT.PPL.100A 208/120,14
TM1615CCU,CENTRO DE CARGA 16C 1F PRINCIPAL 150A,1
TM1615CCUG,CENTRO DE CARGA 16C 1F PRINCIPAL 150A N1,20
TM2015CCU,TM2015CCU C.DE CRGA 1F 3H 20C C/PPL.150,1
TM2020RCU,CENTRO DE CARGA 20C 1F PRINCIPAL 200A,1
TM2412CCU,C.CARGA 1F 3H 24C 120/240V PPL.125A,10
TM24415C,Centro Carga. 24ctos Principal 150A  N1,10
TM24420C,CENTRO DE CARGA 24C INT.PPL.200A,1
TM30415C,CENTRO DE CARGA 30C INT./PPL150A,1
TM3220CCU,C.DE CARGA 40C 1F 3H PPL.200A 240V,5
TM3220RCU,TM3220RCU C.DE CARGA 40C 1F 3H PPL.200A 240V N3R,1
TM4020RCU,C.DE CARGA 1F 3H 40C C/PPL 200A,1
TM4222CCU,CENTRO DE CARGA 42C 1F PRINCIPAL 225A,7
TM42415C,C.DE CARGA 42C 3F 4H C/PPL.150A,8
TM42420R,CENTRO DE CARGA 3F 4H 42P C/INT. PAL 200,7
TM42422R,INT-42 CIRCUITOS 225 AMP,1
TNIA1200,KIT DE ZAPATAS P/NEUTRO 1200A,1
TNIA225,Zapata Aislada  1-300 225A,1
TNIA400,Zapata Aislada (2) 1/0-250 or (1) 4-600,7
TNI65A,Zapata Neutro 400A (1) 350-800 Cu  Al,1
TNI66,Zapata Neutro 600A (2) 4-500 Cu  Al,1
TPME277Y06PP,Protector Sobretensiones Tranquell,1
TP08FCA,,2
TQDL21200,TQDL21200 Int. Term. Zapatas 3x200A 240v 10k,24
TQD22175WL,Int. Term. Zapatas 2x175A 240v 10k,3
TQD22200WL,Int. Term. Zapatas 2x200A 240v 10k,1
TQD22225WL,TQD22225WL Int. Term. Zapatas 2x225A 240v 10k,10
TQD225R,GABINTE N3R P/INT.TIPO TQD,1
TQD225S,TQD225S Gabinete N1 para Sobreponer  TQD,3
TQD32125WL,Int. Term. Zapatas 3x125A 240v 10k,1
TQD32175WL,Int. Term. Zapatas 3x175A 240v 10k,1
TQD32225,INTERRUPTOR 3 POLOS 225 AMP.,9
TQD32225WL,TQD32225WL Int. Term. Zapatas 3x225A 240v 10k,2
TQLFP1,TQLFP1 Tapa de plastico para cubrir Hueco 1´´,650
TQL100S,TQL100S Gabinete N1 Sobreponer 100A THQL,6
TQL70S,TQL70S Gabinete N1 Sobreponer 70A THQL,3
TQMH000,TQMH000 Kit p/ Int. Princ. Centro de Carga THQL,3
TRL22,TRL22 CHAPA P/C.DE CARGA SIN LLAVE,5
TRS100R,FUSIBLE 100AMP FERRAZ SHAUMNT,5
TRS150R,FUSIBLE 150A600V RETARDO DE,6
TRS200R,FUSIBLE 200A 600V FERRAZ SHAWMUT,11
TRS30R,FUSIBLE 30A 600V FS,2
TRS40R,FUSIBLE DE 40A 600V,15
TRS60R,FUSIBLE TRS60R CLA.RK5 RETARDA,2
TR10B800,RATING PLUG 1000A,3
TR16B1000,RATING PLUG 1000A,1
TR20B1200,RATING PLUG 2000A,1
TR20B1500,RATING PLUG 1500A,1
TR20B800,RATING PLUG 2000A,1
TR200R,FUSIBLE 200A 250V FERRAZ SHAWMUT,15
TR25B1600,RATING PLUG 1600A,1
TR25B2000,RATING PLUG 2000A,1
TR30B1600,RATING PLUG 1600A,1
TR30B2000,RATING PLUG 2000A,3
TR30B3000,RATING PLUG 3000A,2
TR4B400,Rating Plug PWII MVT 400-400Amp,9
TR40B3000,RATING PLUG 3000A,1
TR40B3600,RATING PLUG 4000A,4
TSM1612CSCU,Conjunto Base Medidores 16c 125A N3R,4
TSRG204,TSRG204,3
TSRG206,CIRCUIT BREAKER PART,1
TSST10R,Bobina de disparo 125vdc,1
TSVG308A,SENSOR NEUTRAL DE 800AMP,1
TSVG816A,,2
TUBP-100,"TUBERIA PESADA 4""PVC C/C",29
TUBP-32,"TUBERIA CONDUIT 1 1/4""C/C PESADO",5
TUBP-38,"TUBERIA CONDUIT 1 1/2""PESADO C/C",140
TUBP-64,"TUBERIA PESADA 2 1/2"" PVC C/C",50
TUBP-75,"TUBERIA CONDUIT 3""PES C/C",1
TUB-13P,"TUBERIA CONDUIT PVC PESADO C/C 1/2""",4
TUB-19P,"TUBERIA CONDUIT PVC 3/4"" PESADO C/C",100
TVPBP,PORTABLE BATTERY PACK,5
TVPBPACC,,1
T1 60X80,Canaleta ABB pas o 8/12. Dim (BxA ) 60 x,18
T5D40FSA-0+0,Transfer - Tmax T5D 400 0+0  Voltaje de control en 127 Volts.,2
T5D63FSA-0+0,Transfer - Tmax T5D 630 0+0  Voltaje de control en 127 Volts.,1
T5N40FAA-1+0,Transfer - Tmax T5N 400A  1+0  Voltaje de control en 127Vac,5
T5N40FAA-1+1,Transfer - Tmax T5N 400 1+1  Voltaje de control en 127 Volts.,2
T5N63FAA-1+0,Transfer - Tmax T5N 630A  1+0  Voltaje de control en 127 Volts.,5
T5N63FAA-1+1,Transfer - Tmax T5N 630A  1+1  Voltaje de control en 127 Volts.,9
T6D10FSA-0+0,Transfer - TmaxT6D1000 3 Polos  0+0  Voltaje de control en 127 Volts.,1
T6N10FAA-1+0,Transfer - TmaxT6N1000 3 Polos  1+0  Voltaje de control en 127 Volts.,3
T6N80FAA-1+0,Transfer - TmaxT6N800 3 Polos  1+0  Voltaje de control en 127 Volts.,1
T6N80FAA-1+1,Transfer - TmaxT6N 800A  LS/I  3 Polos  1+1  Voltaje de control en 127 Volts.,2
T7S12FAA-1+0,Transfer - TmaxT7S1250 3 Polos  1+0  Voltaje de control en 127 Volts.,2
T7S16FAA-1+0,Transfer - TmaxT7S1600 3 Polos  1+0  Voltaje de control en 127 Volts.,3
T713E40,INT. TERMOMAGNETICO M1 160E 3P  40 AMP,1
UBITBBD1515,INTERR TERM 15A-15A 1P CONECTICUT,3
UBITBBD2015,INTER TERM 20A-15A1P CONECTICUT,4
UBITBBD3030,INTERR TERM 30A-30A 1P CONECTICUT,3
UB1640,TRANSFORMADOR 120V A 16.5V,48
VC1000,L Cont.Cable 1000x300mm,1
VC1200,L Cont.Cable 1200x300mm,1
VC1400,L Cont.Cable 1400x300mm,1
VC1425,INTERNALCABLECONTAINERH=1400MM,6
VC1825,L contenedor cable 1800mm,1
VC2000,L Contenedor cable 2000mm,2
V1108CA,CONTACTO 1POLO PARA CK08,6
V1109BA,CONTACTO 1 POLO PARA CK09B,1
V1110CE,CONTACTO 1 POLO PARA CK10,8
V1175CA,,1
V2023,LUMINARIO COLGANTE CROMADO 3L-GU10,1
V31200B,JGO. DE CONTACTOS P/CL00,18
V31201B,JGO. DE CONTACTOS P/CL01,28
V31202B,JGO. DE CONTACTOS P/CL02,53
V31204B,JGO. DE CONTACTO P/CL04,8
V31206B,JGO. DE CONTACTO P/CL06,21
V31208B,JGO. DE CONTACTOS P/CL08,5
V31210B,,1
V31225B,JGO DE CONTACTOS P/CL25,9
V31245B,,9
XT1NU3030AYD000XXX,Reliagear Next Breaker XT1N 125 TMF 30-500 3p F F UL/CSA + Line Side Connector XT1 + KIT FC CuAl 10-2/0 AWG XT1 3pcs UL/CSA,6
XT1NU3050AYD000XXX,3 Pole molded case circuit breaker with a current rating of 50 Amps,19
XT1NU3060AYD000XXX,Reliagear Next Breaker XT1N 125 TMF 70-700 3p F F UL/CSA + Line Side Connector XT1 + KIT FC CuAl 10-2/0 AWG XT1 3pcs UL/CSA,2
XT1NU3100AYD000XXX,Reliagear Next Breaker XT1N 125 TMF 100-700 3p F F UL/CSA + Line Side Connector XT1 + KIT FC CuAl 10-2/0 AWG XT1 3pcs UL/CSA,4
XT1NU3125AYD000XXX,#N/D,1
XT1N10FAA-1+1,Transfer - Tmax XT1N  100A  Fijos  Unidad TMD  1+1  Voltaje de control 127Vac,2
XT3N20FAA-1+0,Transfer - Tmax XT3N 200A  1+0  Voltaje de control 127Vac.,2
XT3N25FAA-1+0,Transfer - Tmax XT3N 250A  1+0  Voltaje de control 127Vac.,1
XT3N25FAA-1+1,Transfer - Tmax XT3N 250A  1+1  Voltaje de control 127Vac.,2
XT4NU3150AYJ000XXX,#N/D,5
XT4NU3175AYJ000XXX,#N/D,5
XT4NU3200AYJ000XXX,#N/D,6
XT4NU3225AYJ000XXX,#N/D,1
XT4NU3250AYJ000XXX,#N/D,3
XT4SU3100BYJ000XXX,XT4S 250 TMA 100 500 1000 3p F F UL/CSA,1
XT5NU330ABYN000XXX,Reliagear Next Breaker XT5N 400 TMA 300-3000 3p FF UL + Line Side Connector XT5 + KIT FCCuAl 2x2/0-500kcmil XT5 3pcsUL/CSA,6
XT5NU340ABYN000XXX,#N/D,2
XT5NU360BFYN000XXX,#N/D,2
XT5N40FAA-1+1,Tmax XT  XT5N  400A  Tipo 1+1  Voltaje d,2
XT5N63FAA-1+0,Transfer - Tmax XT  XT5N  630A  Tipo 1+0  Voltaje de control: 127Vac,2
XT5N63FAA-1+1,Transfer - Tmax XT  XT5N  630A  Tipo 1+1  Voltaje de control: 127Vac,1
XT6N10FAA-1+0,Transfer T-Max XT6N  1000a tipo A (1+0),1
XT6N10FAA-1+1,Transfer - TmaxT6N1000 3 Polos  1+1  Voltaje de control en 127 Volts.,2
XT6N80FAA-1+1,Transfer - Tmax XT  XT6N 800A  Protecció,1
XT7S12FAA-1+0,Transfer - Tmax XT7S 1250A  Fijo a Par,1
XT7S12FAA-1+1,Transfer - Tmax XT  XT7S  1250A  3 Polos  Tipo 1+1  Voltaje de control: 127Vac,2
XT7S16FAA-1+1,Transfer - Tmax XT  XT7S  1600A  3 Polos  1+1  Voltaje de control: 127Vac,1
YDLEDD-004/30,INTERIOR EMPOTRADO LED 13 W 3000 K,1
YDLEDZ-002/CCT,EMPOTRADOS LED 16W 100-240V 2700-6500K,7
YD-1200/S,EMPOTRADO SATIN A PLAFON,1
YD-1500/B,EMP. ELECTRONICO RED ALUMINIO/CRISTAL,1
YD-510/B,EMP. DIRIG. REDONDO 50W AR111 BCO,2
ZBE-101,Elemento de contacto ZBE-101 P/boton,13
ZL1000,L ANGULOS ZOCLO,11
ZL1101,L Tapa Zoclo 800mm 2pz,9
ZL2001,L Tapa Zoclo 300mm 2pz,2
ZMDE 6-3/0,ZAPATA TERMINAL MECANICA ESCA 6-3/0 AWG,12
ZN1000-MX,Dos tapas de zocalo frente/trasera 100X1000MM HXW,1
ZN6000-MX,IS2 Tapa Zoclo 600mm,9
ZN8000-MX,Dos tapas de zocalo frente/trasera,63
Z164CE3FTB,ZERA 12 EMPOTRRADO 12W  3000K  90-150V,30
Z164CS3FTB,ZERA SOBREPONER 12W  3000K 90-150V,2
03RCTPPVE,CAJA REGISTRO 3X3 REF C/TAPA (13),19
077MT1234S22,CONMUTADOR DE FASE,5
077MT24S22,PALANCA DE MANDO CEMA,10
077-10,AUX DE BLOCK CONTACTOR,5
077-11,BLOCK CONTACTOR,39
080CPT,PROTECTOR PLASTICO,2
1SAE231111R0440,ESB25-40N-04 Installation Contactor,20
1SAE341111R0440,ESB40-40N-04 Installation Contactor,40
1SAE351111R0440,ESB63-40N-04 Installation Contactor,39
1SAM201901R1001,HKF1-11 Aux.-contact for frontmounting,111
1SAM201902R1001,HK1-11 Aux.-contact 1 NO + 1 NC,27
1SAM201903R1001,SK1-11 Signal Contact,10
1SAM201904R1007,UA1-415 Undervoltage release 415V,5
1SAM201906R1102,PS1-2-0-65 3-phase busbar,39
1SAM201906R1103,PS1-3-0-65 3-phase busbar,21
1SAM201906R1104,PS1-4-0-65 3-phase busbar,37
1SAM201906R1105,PS1-5-0-65 3-phase busbar,39
1SAM201906R1112,PS1-2-1-65 3-phase busbar,9
1SAM201906R1114,PS1-4-1-65 3-phase busbar,33
1SAM201911R1011,IB132-Y Enclosure  RD/YE  IP65,4
1SAM250000R1001,MS116-0.16 Manual Motor Starter  Rango de ajuste 0.1 ... 0.16A,2
1SAM250000R1002,MS116-0.25 Manual Motor Starter  Rango de ajuste 0.16 ... 0.25A,12
1SAM250000R1003,MS116-0.4 Manual Motor Starter  Rango de ajuste 0.25 ... 0.4A,11
1SAM250000R1004,MS116-0.63 Manual Motor Starter  Rango de ajuste 0.4 ... 0.63A,5
1SAM250000R1005,MS116-1.0 Manual Motor Starter  Rango de ajuste 0.63 ... 1.0A,10
1SAM250000R1006,MS116-1.6 Manual Motor Starter  Rango de ajuste 1.0 ... 1.6A,56
1SAM250000R1007,MS116-2.5 Manual Motor Starter  Rango de ajuste 1.6 ... 2.5A,43
1SAM250000R1008,MS116-4.0 Manual Motor Starter  Rango de ajuste 2.5 ... 4.0A,31
1SAM250000R1009,MS116-6.3 Manual Motor Starter  Rango de ajuste 4.0 ... 6.3A,128
1SAM250000R1010,MS116-10 Manual Motor Starter  Rango de ajuste 6.3 ... 10A,221
1SAM250000R1011,MS116-16 Manual Motor Starter  Rango de ajuste 10 ... 16A,121
1SAM250000R1012,MS116-12 Manual Motor Starter  Rango de ajuste 8.0 ... 12A,119
1SAM250000R1013,MS116-20 Manual Motor Starter  Rango de ajuste 16 ... 20 A,146
1SAM250000R1014,MS116-25 Manual Motor Starter  Rango de ajuste 20 ... 25 A,133
1SAM250000R1015,MS116-32 Manual Motor Starter  Rango de ajuste 25 ... 32 A,95
1SAM350000R1006,MS132-1.6 Manual Motor Starter  Rango de ajuste 1.0 ... 1.6A,10
1SAM350000R1007,MS132-2.5 Manual Motor Starter  Rango de ajuste 1.6 ... 2.5A,32
1SAM350000R1008,MS132-4.0 Manual Motor Starter  Rango de ajuste 2.5 ... 4.0A,29
1SAM350000R1009,MS132-6.3 Manual Motor Starter  Rango de ajuste 4.0 ... 6.3A,29
1SAM350000R1010,MS132-10 Manual Motor Starter  Rango de ajuste 6.3 ... 10A,12
1SAM350000R1011,MS132-16 Manual Motor Starter  Rango de ajuste 10 ... 16A,28
1SAM350000R1012,MS132-12 Manual Motor Starter  Rango de ajuste 8.0 ... 12A,31
1SAM350000R1013,MS132-20 Manual Motor Starter  Rango de ajuste 16 ... 20A,32
1SAM350000R1014,MS132-25 Manual Motor Starter  Rango de ajuste 20 ... 25A,28
1SAM350000R1015,MS132-32 Manual Motor Starter  Rango de ajuste 25 ... 32A,34
1SAM451000R1014,MS165-32 Manual motor starter,5
1SAM451000R1015,MS165-42 Manual motor starter  Rango de ajuste 30 - 42 A,52
1SAM451000R1016,MS165-54 Manual motor starter  Rango de ajuste 40 - 54 A,13
1SAM451000R1017,MS165-65 Manual motor starter  Rango de ajuste 52 - 65 A,19
1SAM451000R1018,MS165-73 Manual motor starter  Rango de ajuste 62 ... 73 A,17
1SAM451000R1019,MS165-80 Manual motor starter  Rango de ajuste 70 ... 80 A,17
1SAX101910R1001,DB19EF Single Mounting Kit for EF19,5
1SAX331001R1101,EF65-70 Electronic Overload Relay 25-70 A  Trip class adjustable,5
1SAX341001R1101,EF96-100 Electronic Overload Relay 36-100 A  Trip class adjustable,2
1SAX351001R1101,EF146-150 Electronic Overload Relay 54-150 A  Trip class adjustable,5
1SAX531001R1101,EF205-210 Electronic Overload Relay 63-210 A  Trip class adjustable,5
1SAX611001R1101,EF370-380 Electronic Overload Relay 115-380 A  Trip class adjustable,5
1SAZ211201R1040,RELEVADOR BIM RANGO 6.0-8.5A TA25DU ABB,1
1SAZ421201R1005,TA200DU-175 Thermal Overload Relay Trip class 10A  130-175A,15
1SAZ421201R1006,TA200DU-200 Thermal Overload Relay Trip class 10A  150-200A,16
1SAZ431201R1002,TF140DU-110 Thermal Overload Relay Trip class 10A  80-110A,24
1SAZ431201R1003,TF140DU-135 Thermal Overload Relay Trip class 10A  100-135A,12
1SAZ431201R1004,TF140DU-142 Thermal Overload Relay Trip class 10A  110-142A,7
1SAZ701902R0001,DB42 Single Mounting Kit for TF42,64
1SAZ711201R1028,T16-1.7 Thermal Overload Relay Trip class 10  1.30-1.70 A,20
1SAZ711201R1033,T16-3.1 Thermal Overload Relay Trip class 10  2.30-3.10 A,20
1SAZ721201R1021,TF42-0.74 Thermal Overload Relay Trip class 10  0.55-0.74 A,19
1SAZ721201R1023,TF42-1.0 Thermal Overload Relay Trip class 10  0.74-1.00 A,19
1SAZ721201R1025,TF42-1.3 Thermal Overload Relay Trip class 10  1.00-1.30 A,26
1SAZ721201R1028,TF42-1.7 Thermal Overload Relay Trip class 10  1.30-1.70 A,38
1SAZ721201R1031,TF42-2.3 Thermal Overload Relay Trip class 10  1.70-2.30 A,47
1SAZ721201R1033,TF42-3.1 Thermal Overload Relay Trip class 10  2.30-3.10 A,65
1SAZ721201R1035,TF42-4.2 Thermal Overload Relay Trip class 10  3.10-4.20 A,50
1SAZ721201R1038,TF42-5.7 Thermal Overload Relay Trip class 10  4.20-5.70 A,38
1SAZ721201R1040,TF42-7.6 Thermal Overload Relay Trip class 10  5.70-7.60 A,77
1SAZ721201R1043,RELEVADOR  6 A 8 AMP. 460V ABB,98
1SAZ721201R1045,TF42-13 Thermal Overload Relay Trip class 10  10.0-13.0 A,129
1SAZ721201R1047,TF42-16 Thermal Overload Relay,47
1SAZ721201R1049,TF42-20 Thermal Overload Relay Trip class 10  16.0-20.0 A,98
1SAZ721201R1051,TF42-24 Thermal Overload Relay Trip class 10  20.0-24.0 A,64
1SAZ721201R1052,TF42-29 Thermal Overload Relay Trip class 10  24.0-29.0 A,57
1SAZ721201R1053,TF42-35 Thermal Overload Relay Trip class 10  29.0-35.0 A,41
1SAZ721201R1055,TF42-38 Thermal Overload Relay Trip class 10  35.0-38.0/40.0 A,31
1SAZ801901R1001,DB65 Single mounting kit for TF65,10
1SAZ811201R1003,TF65-40 Thermal Overload Relay Trip Class 10  30-40A,11
1SAZ811201R1004,TF65-47 Thermal Overload Relay Trip Class 10  36-47A,13
1SAZ811201R1005,TF65-53 Thermal Overload Relay Trip Class 10  44-53A,7
1SAZ811201R1006,TF65-60 Thermal Overload Relay Trip Class 10  50-60A,24
1SAZ811201R1007,TF65-67 Thermal Overload Relay Trip Class 10  57-67A,15
1SAZ911201R1001,TF96-51 Thermal Overload Relay Trip Class 10  40-51A,14
1SAZ911201R1002,TF96-60 Thermal Overload Relay Trip Class 10  48-60A,11
1SAZ911201R1003,TF96-68 Thermal Overload Relay Trip Class 10  57-68A,12
1SAZ911201R1004,TF96-78 Thermal Overload Relay Trip Class 10  65-78A,12
1SAZ911201R1005,TF96-87 Thermal Overload Relay Trip Class 10  75-87A,14
1SAZ911201R1006,TF96-96 Thermal Overload Relay Trip Class 10  84-96A,14
1SBE121111R0120,ESB20-20N-01 Installation Contactor,140
1SBH136001R2022,NFZ22E-20 12-20VDC Contactor Relay,60
1SBH136001R2122,NFZ22E-21 24-60V50/60HZ 20-60VDC Contactor Relay,39
1SBH137001R1322,NF22E-13 100-250V50/60HZ-DC Contactor Relay,59
1SBH137001R1331,NF31E-13 100-250V50/60HZ-DC Contactor Relay,16
1SBL136001R2110,AF09Z-30-10-21 24-60V50/60HZ 20-60VDC Contactor,70
1SBL137001R1310,AF09-30-10-13 100-250V50/60HZ-DC Contactor,624
1SBL137001R1410,AF09-30-10-14 250-500V50/60HZ-DC Contactor,12
1SBL156001R2110,AF12Z-30-10-21 24-60V50/60HZ 20-60VDC Contactor,60
1SBL157001R1310,AF12-30-10-13 100-250V50/60HZ-DC Contactor,283
1SBL157001R1410,AF12-30-10-14 250-500V50/60HZ-DC Contactor,83
1SBL176001R2110,AF16Z-30-10-21 24-60V50/60HZ 20-60VDC Contactor,186
1SBL177001R1310,AF16-30-10-13 100-250V50/60HZ-DC Contactor,425
1SBL177001R1401,AF16-30-01-14 250-500V50/60HZ-DC Contactor,50
1SBL177001R1410,AF16-30-10-14 250-500V50/60HZ-DC Contactor,82
1SBL236001R2100,AF26Z-30-00-21 24-60V50/60HZ 20-60VDC Contactor,54
1SBL237001R1300,AF26-30-00-13 100-250V50/60HZ-DC Contactor,337
1SBL237001R1400,AF26-30-00-14 250-500V50/60HZ-DC Contactor,126
1SBL276001R2100,AF30Z-30-00-21 24-60V50/60HZ 20-60VDC Contactor,78
1SBL277001R1300,AF30-30-00-13 100-250V50/60HZ-DC Contactor,150
1SBL277001R1400,AF30-30-00-14 250-500V50/60HZ-DC Contactor,30
1SBL281024R8410,UA30-30-10RA 110V 50Hz / 110-120V 60Hz,51
1SBL296001R2100,AF38Z-30-00-21 24-60V50/60HZ 20-60VDC Contactor,30
1SBL297001R1300,CONTACTOR AF38-20-00-13 100-250V 60HZ/DC,32
1SBL297001R1400,AF38-30-00-14 250-500V50/60HZ-DC Contactor,24
1SBL347001R1100,AF40-30-00-11 24-60V50/60HZ 20-60VDC Contactor,41
1SBL347001R1300,AF40-30-00-13 100-250V50/60HZ-DC Contactor,60
1SBL347001R1400,AF40-30-00-14 250-500V50/60HZ-DC Contactor,36
1SBL367001R1100,AF52-30-00-11 24-60V50/60HZ 20-60VDC Contactor,34
1SBL367001R1300,AF52-30-00-13 100-250V50/60HZ-DC Contactor,19
1SBL367001R1400,AF52-30-00-14 250-500V50/60HZ-DC Contactor,53
1SBL367201R1300,AF52-40-00-13 100-250V50/60HZ-DC Contactor,10
1SBL387001R1100,AF65-30-00-11 24-60V50/60HZ 20-60VDC Contactor,11
1SBL387001R1300,AF65-30-00-13 100-250V50/60HZ-DC Contactor,70
1SBL387001R1400,AF65-30-00-14 250-500V50/60HZ-DC Contactor,29
1SBL397001R1100,AF80-30-00-11 24-60V50/60HZ 20-60VDC Contactor,26
1SBL397001R1300,AF80-30-00-13 100-250V50/60HZ-DC Contactor,68
1SBL397001R1400,AF80-30-00-14 250-500V50/60HZ-DC Contactor,39
1SBL397201R1300,AF80-40-00-13 100-250V50/60HZ-DC Contactor,14
1SBL407001R1100,AF96-30-00-11 24-60V50/60HZ 20-60VDC Contactor,13
1SBL407001R1300,AF96-30-00-13 100-250V50/60HZ-DC Contactor,10
1SBL407001R1400,AF96-30-00-14 250-500V50/60HZ-DC Contactor,26
1SBN010110R1001,CA4-01 Auxiliary Contact Block,333
1SBN010110R1010,CA4-10 Auxiliary Contact Block,485
1SBN010120R1011,CAL4-11 Auxiliary Contact Block,395
1SBN010140R1022,CA4-22E Auxiliary Contact Block,9
1SBN010140R1122,CA4-22M Auxiliary Contact Block,47
1SBN010151R1011,CAT4-11E Auxiliary Contact / Coil Terminal Block,15
1SBN010151R1111,CAT4-11M Auxiliary Contact / Coil Terminal Block,20
1SBN020112R1000,TEF4-ON Frontal Electronic Timer,2
1SBN030105T1000,VM4 Mechanical Interlock Unit,20
1SBN030111R1000,VEM4 Kit de bloqueo Mecanico y Electrico,92
1SBN033405T1000,VM96-4 Mechanical Interlock Unit,48
1SBN081306T1000,BEA16-4 Connecting Link with Manual Motor Starter,43
1SBN081311R1000,BER16-4 Connection Set for Reversing Contactors,57
1SBN082306T1000,BEA26-4 Connecting Link with Manual Motor Starter,88
1SBN082306T2000,BEA38-4 Connecting Link with Manual Motor Starter,68
1SBN082311R1000,BER38-4 Connection Set for Reversing Contactors  Terminales PI-Spring,57
1SBN083406R1000,BEA65-4 Connecting Link with Manual Motor Starter,24
1SBN083411R1000,BER65-4 Connection Set for Reversing Contactors,9
1SBV015914R3801,LS20P14B11-U01,6
1SBX102300R1300,DP CONTR  25A 3P  COIL208/240VAC,3
1SBX104300R1300,DP CONTR  40A 3P  COIL208/240VAC,3
1SCA022325R6710,OXP12X185 = 1SCA022325R6710 - Varilla para Manija Tipo Pistol  ø12x185mm para OT315…3150A  OS400…1250A,1
1SCA022589R3340,OHB125J12E011 PISTOL HANDLE,1
1SCA022627R6010,OFAF2H315 = 1SCA022627R6010 - Fusible 315A Tamaño Din/NH 2 Tipo gG/500V  120kA  DIN43620 Usos Generales,3
1SCA022627R6270,OFAF2H400 = 1SCA022627R6270 - Fusible 400A Tamaño Din/NH 2 Tipo gG/500V  120kA  DIN43620 Usos Generales,3
1SCA022627R7080,OFAF3H500 = 1SCA022627R7080 - Fusible 500A Tamaño Din/NH 3 Tipo gG/500V  120kA  DIN43620 Usos Generales,3
1SCA022627R7160,OFAF3H630 = 1SCA022627R7160 - Fusible 630A Tamaño Din/NH 3 Tipo gG/500V  120kA  DIN43620 Usos Generales,3
1SCA022771R8500,OT400E03CP,2
1SCA022772R6510,OT160E03CP,2
1SCA022785R6050,OT630E03CP,2
1SCA022785R6300,OT800E03CP,1
1SCA022845R8880,OTM200E3CM110V MOTORIZED C/O SWITCH,5
